City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Richards Bay,-28.78,32.04,70.5,87,93,4.18,ZA,1606087303
Khatanga,71.97,102.5,14.92,96,100,20.38,RU,1606087379
Bredasdorp,-34.53,20.04,60.8,87,26,3.36,ZA,1606087229
Korla,41.76,86.15,18.1,80,40,3.47,CN,1606087382
Tasiilaq,65.61,-37.64,21.2,85,46,2.24,GL,1606087383
Albany,42.6,-73.97,39.0,68,100,9.82,US,1606087384
Chokurdakh,70.63,147.92,1.22,94,100,7.31,RU,1606087247
Saskylakh,71.92,114.08,4.51,92,30,13.11,RU,1606087388
Phuket,8.0,98.25,82.0,88,75,4.7,TH,1606087389
Lüshunkou,38.8,121.27,24.8,79,0,11.83,CN,1606087219
Makkah al Mukarramah,21.43,39.83,72.32,74,0,4.79,SA,1606087315
Broken Hill,-31.95,141.43,71.6,78,100,21.92,AU,1606087393
Dalmatovo,56.26,62.94,17.71,93,100,5.48,RU,1606087394
San Patricio,28.02,-97.52,77.0,53,75,11.41,US,1606087396
Port Lincoln,-34.73,135.87,62.58,66,49,16.11,AU,1606087397
Carnarvon,-24.87,113.63,73.4,78,0,11.41,AU,1606087259
Husavik,66.04,-17.34,17.6,85,0,2.24,IS,1606087400
Busselton,-33.65,115.33,66.99,67,0,7.16,AU,1606087401
Troitskiy,57.06,63.75,17.6,93,84,5.41,RU,1606087402
Bluff,-46.6,168.33,57.0,66,3,5.01,NZ,1606087403
Kongolo,-5.38,27.0,71.37,84,76,0.94,CD,1606087405
Nikolskoye,59.7,30.79,39.2,86,90,6.71,RU,1606087406
Nyurba,63.28,118.33,8.56,95,100,4.74,RU,1606087407
Mataura,-46.19,168.86,57.0,66,23,5.01,NZ,1606087233
Airai,-8.93,125.41,66.96,92,91,2.39,TL,1606087410
Hobart,-42.88,147.33,64.0,72,75,6.93,AU,1606087348
Dubbo,-32.25,148.62,75.2,64,75,19.46,AU,1606087400
Zhangjiakou,40.81,114.88,18.61,78,0,4.7,CN,1606087414
Kapaa,22.08,-159.32,80.6,69,75,20.8,US,1606087417
Elizabeth City,36.29,-76.25,64.99,82,75,3.36,US,1606087419
Saint-Philippe,-21.36,55.77,73.4,78,86,6.93,RE,1606087420
Rosetown,51.55,-108.0,16.0,92,90,13.87,CA,1606087345
Hermanus,-34.42,19.23,57.99,92,41,5.91,ZA,1606087424
Şabyā,17.15,42.63,82.4,74,40,3.89,SA,1606087426
Algiers,36.75,3.04,46.4,100,40,6.35,DZ,1606087176
Chui,-33.7,-53.46,60.48,79,0,8.48,UY,1606087271
Butaritari,3.07,172.79,80.87,76,89,13.44,KI,1606087432
Maceió,-9.67,-35.74,75.2,94,0,5.82,BR,1606087216
Berbera,10.44,45.01,78.33,60,100,1.77,SO,1606087434
Ushuaia,-54.8,-68.3,53.6,46,75,23.04,AR,1606087435
Noumea,-22.28,166.46,80.6,61,75,16.11,NC,1606087378
Malakal,9.53,31.66,76.53,21,8,5.37,SS,1606087357
Caçu,-18.56,-51.13,77.56,31,2,5.12,BR,1606087439
Remontnoye,46.56,43.65,28.4,92,96,8.95,RU,1606087440
Cape Town,-33.93,18.42,64.0,87,20,8.05,ZA,1606087442
Vestmannaeyjar,63.44,-20.27,38.95,74,59,10.63,IS,1606087443
Griffith,41.53,-87.42,39.2,93,1,4.7,US,1606087296
Yurimaguas,-5.9,-76.08,80.55,76,92,1.81,PE,1606087446
Carballo,43.21,-8.69,51.01,100,0,4.7,ES,1606087447
Upernavik,72.79,-56.15,20.05,85,100,4.88,GL,1606087251
Magadan,59.57,150.8,3.36,84,20,10.16,RU,1606087449
Macas,-2.32,-78.12,71.6,78,40,5.82,EC,1606087207
Kimbe,-5.55,150.14,86.4,61,27,2.13,PG,1606087276
Rabo de Peixe,37.8,-25.58,60.8,87,20,6.93,PT,1606087453
Prince Rupert,54.32,-130.32,42.8,82,90,10.29,CA,1606087445
Valparaíso,-33.04,-71.63,71.6,40,0,9.17,CL,1606087303
Kilembe,0.2,30.0,62.06,79,19,3.6,UG,1606087457
Henties Bay,-22.12,14.28,59.0,89,0,1.01,NA,1606087313
Hokitika,-42.72,170.97,58.03,70,100,7.54,NZ,1606087460
Severo-Kuril'sk,50.68,156.12,31.59,94,85,44.74,RU,1606087233
Jérémie,18.65,-74.12,79.29,73,47,1.59,HT,1606087462
Hastings,50.86,0.57,48.99,70,82,1.99,GB,1606087464
Ponta do Sol,32.67,-17.1,66.2,72,75,6.93,PT,1606087419
Tambacounda,13.75,-13.76,82.44,16,21,6.73,SN,1606087466
Castro,-24.79,-50.01,59.2,89,36,5.06,BR,1606087467
Ancud,-41.87,-73.82,57.99,62,20,13.87,CL,1606087470
Atuona,-9.8,-139.03,78.37,69,21,12.08,PF,1606087240
Puerto Quijarro,-17.78,-57.77,87.78,25,0,5.53,BO,1606087473
Turukhansk,65.82,87.98,7.83,96,99,7.72,RU,1606087474
Saldanha,-33.01,17.94,59.0,82,0,4.7,ZA,1606087475
Saint Anthony,45.02,-93.22,39.2,69,90,16.11,US,1606087476
Dwārka,22.24,68.97,73.26,51,0,5.44,IN,1606087478
Rikitea,-23.12,-134.97,74.86,74,9,7.81,PF,1606087480
Punta Arenas,-53.15,-70.92,53.6,50,40,14.99,CL,1606087228
Sakakah,29.97,40.21,53.6,66,0,4.76,SA,1606087350
Kavaratti,10.57,72.64,80.94,71,0,10.98,IN,1606087484
Port Blair,11.67,92.75,81.0,81,97,6.62,IN,1606087485
East London,-33.02,27.91,65.5,84,100,7.7,ZA,1606087227
Saint Paul Harbor,57.79,-152.41,30.2,86,20,15.32,US,1606087313
George Town,5.41,100.34,77.0,94,20,2.24,MY,1606087450
Barrow,71.29,-156.79,15.8,85,90,11.41,US,1606087491
Mayo,38.89,-76.51,55.99,87,90,5.91,US,1606087393
Hilo,19.73,-155.09,75.2,88,90,9.17,US,1606087393
Yellowknife,62.46,-114.35,3.2,84,90,10.29,CA,1606087496
Port Alfred,-33.59,26.89,66.43,86,100,8.72,ZA,1606087498
São Miguel do Araguaia,-13.28,-50.16,79.16,76,87,5.82,BR,1606087499
Tiksi,71.69,128.87,-5.24,90,82,5.75,RU,1606087501
Neiafu,-18.65,-173.98,82.4,78,75,6.93,TO,1606087502
Olafsvik,64.89,-23.71,37.67,76,71,7.29,IS,1606087351
Tuatapere,-46.13,167.68,57.0,66,88,5.01,NZ,1606087251
Tilichiki,60.47,166.1,3.15,95,69,5.39,RU,1606087291
Ulladulla,-35.35,150.47,73.4,73,100,10.29,AU,1606087507
Tucumã,-0.18,-50.05,78.06,88,100,4.9,BR,1606087508
Thompson,55.74,-97.86,1.4,77,90,4.7,CA,1606087510
